File Creation Time UTC,5/18/2021 17:46,,,,,,,,,,,,,,,,,
SW Name,iID®DataCaptureSoftware,,,,,,,,,,,,,,,,,
SW Version,v01.06,,,,,,,,,,,,,,,,,
SW BuildDate,11/28/2019,,,,,,,,,,,,,,,,,
SW StartTime,5/18/2021 12:15,,,,,,,,,,,,,,,,,
Lib Version,v1.6.1,,,,,,,,,,,,,,,,,
Company,Micro-Sensys GmbH,,,,,,,,,,,,,,,,,
OS Version,v10.0.17763.865,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Settings,,,,,,,,,,,,,,,,,,
,Scan mode,MPC,,,,,,,,,,,,,,,,
,,DataGetDelay_Seconds,15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Found Hardware,,,,,,,,,,,,,,,,,,
,Address,ReaderID,HW-Info,FW-Info,Num-Antennas,,,,,,,,,,,,,
,0x01,25SQCMICSCB30E12,,,,,,,,,,,,,,,,
,0x10,200192,D0.22,98.26.01,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Timestamp UTC,HexAddress,ReaderID,UID,Collection,DataType,FirstTimeFound,LastTimeFound,NumFound,Direction,Ant1,Ant2,,,,,,,
18:46:40,10,200192,25SQCMICSBB56CF0054E3,,DPC,01:56.3,02:04.1,26,Departing,x,x,,,20:02:11,,,,18:46:40
18:52:26,10,200192,25SQCMICSBB56CF0054E3,,DPC,02:40.8,02:41.1,2,Arriving,x,x,,,20:02:41,,,,18:52:26
18:52:41,10,200192,25SQCMICSBBBA0100099C,,DPC,02:52.3,02:54.1,7,Arriving,x,x,,,20:02:56,,,,18:52:41
18:53:11,10,200192,25SQCMICSBB12630055AD,,DPC,03:14.6,03:15.5,4,Unknown,,x,,,20:03:26,,,,18:53:11
18:53:26,10,200192,25SQCMICSBB92D30054F8,,DPC,03:20.3,03:26.3,7,Unknown,,x,,,20:03:26,,,,18:53:26
18:53:26,10,200192,25SQCMICSBB92D30054F8,,DPC,03:26.3,03:31.7,19,Departing,x,x,,,20:03:41,,,,18:53:26
18:55:57,10,200192,25SQCMICSBB92D30054F8,,DPC,03:50.8,03:51.4,3,Unknown,,x,,,20:03:56,,,,18:55:57
18:55:57,10,200192,25SQCMICSBB55130054E7,,DPC,05:34.7,05:40.7,5,Unknown,,x,,,20:05:42,,,,18:55:57
18:56:12,10,200192,25SQCMICSBB55130054E7,,DPC,05:48.2,05:54.5,13,Departing,x,x,,,20:05:57,,,,18:56:12
18:56:27,10,200192,25SQCMICSBBCDD8003CF6,,DPC,06:13.9,06:16.0,8,Departing,x,x,,,20:06:27,,,,18:56:27
18:56:42,10,200192,25SQCMICSBB604C000996,,DPC,09:50.2,09:51.7,6,Arriving,x,x,,,20:09:58,,,,18:56:42
18:56:42,10,200192,25SQCMICSBBA34E000990,,DPC,11:02.8,11:03.1,2,Unknown,,x,,,20:11:13,,,,18:56:42
18:56:57,10,200192,25SQCMICSBBA34E000990,,DPC,12:28.4,12:29.6,5,Arriving,x,x,,,20:12:43,,,,18:56:57
18:57:12,10,200192,25SQCMICSBB4934005476,,DPC,13:55.6,13:55.9,2,Unknown,,x,,,20:13:58,,,,18:57:12
18:57:27,10,200192,25SQCMICSBB4934005476,,DPC,13:59.5,14:11.2,26,Arriving,x,x,,,20:14:13,,,,18:57:27
18:57:42,10,200192,25SQCMICSBB926A00552C,,DPC,15:16.4,15:24.8,29,Departing,x,x,,,20:15:29,,,,18:57:42
18:57:57,10,200192,25SQCMICSBBFC62000980,,DPC,15:20.6,15:26.0,12,Departing,x,x,,,20:15:29,,,,18:57:57
18:58:43,10,200192,25SQCMICSBBB9300009A7,,DPC,16:45.0,16:51.3,5,Departing,x,x,,,20:16:59,,,,18:58:43
18:58:58,10,200192,25SQCMICSBB926A00552C,,DPC,16:55.5,16:58.8,4,Arriving,x,x,,,20:16:59,,,,18:58:58
18:59:43,10,200192,25SQCMICSBBCAE0005513,,DPC,17:29.2,17:29.2,1,Unknown,x,,,,20:17:44,,,,18:59:43
18:59:58,10,200192,25SQCMICSBBB9300009A7,,DPC,17:35.5,17:43.0,17,Arriving,x,x,,,20:17:44,,,,18:59:58
17:45:59,10,200192,25SQCMICSBBCAE0005513,,DPC,17:55.0,17:57.4,9,Arriving,x,x,,,20:17:59,,,,17:45:59
17:46:14,10,200192,25SQCMICSBB8A370055B6,,DPC,18:07.4,18:08.0,3,Arriving,x,x,,,20:18:14,,,,17:46:14
